CKY_ART;DESCR;CATEGORIA;COSTO
0000000000;!MEMORIASO-DIMM 128 MC PC133;30;39,975
0000000001;!CODICE PER PREVENTIVO;94;7,515
0000000002;!FLOPPY DISK 1,44 VERGINI VE;10;9,315
0000000003;!TASTIERA PS2 STANDARD;76;9,405
0000000004;!CD ROM LG 52X BIANCO;2;21,114
0000000005;!MASTERIZZATORE DVD LG 4163;28;54,9825
0000000006;!CASEHANTOL KG-201YBKW 450 W;6;45,02985
0000000007;!DVD+R VERBATIM 8X IN JEWEL;11;8,14995
0000000008;!CPU AMD ATHLON 64 3200 S939;22;80,25
0000000009;!MEMORIA DDR 1 GB PC400 MHZ;40;33,765
0000000010;!MULTIMEDIA CARD 1 GB;42;26,445
0000000011;!LETTORE MP3  USB GEMBIRD 25;5;58,5
0000000012;!CASEHANTOL KG-188S  450 WAT;6;40,17
0000000013;!<LETTORE FLOPPY DISK 1,44 B;27;12,765
0000000014;!DVD-R VERBATIM 8X PRINTABLE;11;8,01
0000000015;!CD-R 80 MIN VERBATIM PRINTA;48;7,81245
0000000016;!HARDDISK MAXTOR 40 GB 7200R;33;51,111
0000000017;!MASTERIZZATOREDVD PIONEER 1;28;68,22
0000000018;!<CAVO PROLUNGA USB 5 MT TEC;7;9,3
0000000019;!MONITOR PHILIPS 200AW8FS 20;47;222
0000000020;!CONTROLLER PCIE-SATA + 2 PO;21;20,895
0000000021;!SCHEDA MADRE ASUS P5GD1;62;120,5709
0000000022;!MEMORIA DIMM 128 MB PC133 M;29;21,75
0000000023;!MEMORIA DIMM 256 MB PC133 M;29;29,4
0000000024;!KITLOGITECH TAST+MOUSE OPT;76;41,52
0000000025;!KIT LOGITECH CORDLESS OPTIC;76;32,865
0000000026;!MODEM ESTERNO 56K USB;46;33
0000000027;!MODEM ESTERNO 56K SERIALE;46;32,2884
0000000028;!CARTA FOTOGRAFICA TREND A6;44;9,3
0000000029;!BORSA PORTA CD PROF 72  POS;14;13,185
0000000030;!SCHEDA DI ACQUISIZIONE PINN;49;97,59
0000000031;!NON USARE;11;7,896
0000000032;!MONITOR SAMSUNG 793S 17 CR;31;124,95
0000000033;!TASTIERA LOGITECH CLASSIC 2;76;18,9
0000000034;!NOTEBOOKACER ASPIRE1362LM S;54;832,5
0000000035;!STAMPANTE CANON PIXMA IX400;23;272,85
0000000036;!<CAVO IDE ROUND ATA133;7;12,225
0000000037;!SCHEDA MADRE ASROCK K7S41;35;50,925
0000000038;!SCHEDATV ESTERNA TRUST USB2;49;88,125
0000000039;!MOUSE SERIALE 3 TASTI;50;9,795
000000003916;!NON USARE;91;182,115
0000000040;!PINNACLE PCTV NANOSTICK DVB;49;54,075
0000000041;!SCANNER MUSTEK 600 PRO A3 U;59;140,865
0000000042;!CPU AMD SEMPRON 3000 BOX;22;101,7174
000000004233;!NON USARE;91;155,25
0000000043;!LETTORE MP3 USB CAPTIVA 256;5;55,43175
0000000044;!BUSTINA PVC (100PZ);26;8,85
0000000045;!HARDDISK 80 GB 2,5 PER NOT;39;104,25255
0000000046;!DATA SWITCH KVM-0201;1;30,9
0000000047;!CPU AMD SEMPRON 2300 BOX;22;76,4718
0000000048;!MOUSE LOGITECH OTTICO BIANC;50;16,125
0000000049;!MOUSE LOGITECH OTTICO NERO;95;14,88
0000000050;!CPU INTEL CELERON D 330 2,6;20;96,4425
0000000051;!CPU INTEL CELERON D 335 2,8;20;108,0528
0000000052;!CPUINTEL CELERON D 345 3 GH;20;132,2343
0000000053;!CPU INTEL PENTIUM 4 520 2,8;20;170,4
0000000054;!CPU INTEL PENTIUM 4 640 3,2;20;200,9997
0000000055;!CPU AMD ATHLON XP 2800+ BOX;22;113,325
0000000056;!CPU AMD ATHLON XP 3000+ BOX;22;14,55
0000000057;!CPU AMD ATHLON XP 3200+ BOX;22;150,75
0000000058;!CPU AMD SEMPRON 2600 S754 B;22;54,2874
0000000059;!TASTIERA PS2 MULTIMEDIALE;76;12
0000000060;!VENTOLA PER PENTIUM 4 SOCKE;77;16,35
0000000061;!CPU AMD SEMPRON 2800 S754 B;22;48,42
0000000062;!CPU AMD ATHLON 3000 S754 BO;20;60
0000000063;!CPU AMD ATHLON 64 3400 BOX;22;213,3
0000000064;!MEMORIA PEN DRIVE 2 GB USB;42;22,35
0000000065;!MINI SECURE DIGITAL 128 MB;42;13,68
0000000066;!MOUSE PAD STANDARD VARI COL;18;7,86
0000000067;!MINI SECURE DIGITAL 256 MB;42;17,97
0000000068;!MINI SECURE DIGITAL 512 MB;42;19,965
0000000069;!SCHEDAVIDEO ATI RADEON X300;81;45,75
0000000070;!CARTUCCIA COMPATIBILE EPSON;43;9,045
0000000071;!SCHEDA VIDEO GAINWARD GEFOR;51;253,2
0000000072;!SCHEDA VIDEO GE FORCE 6200L;51;32,49
0000000073;!SCHEDA VIDEO GE FORCE 6200L;51;34,71
0000000074;!SCHEDA VIDEO XFX 9800GX2 XT;51;461,205
0000000075;!DVD-R MINI;11;9,084
0000000076;!SCHEDA MADRE ASROCK K7VT4A;35;43,0419
0000000077;!CUSTODIA CD SINGOLA (100PZ);26;22,5
0000000078;!CUSTODIA CD SINGOLA (500PZ);26;78,75
0000000079;!CUSTODIA CD SINGOLA (1000PZ;26;142,5
0000000080;!CUSTODIA CD SINGOLA (5000PZ;26;645
0000000081;!CUSTODIA CD DOPPIA (100PZ);26;24
0000000082;!CUSTODIA CD DOPPIA (500PZ);26;86,25
0000000083;!CUSTODIA CD DOPPIA (1000PZ);26;157,5
0000000084;!CUSTODIA CD DOPPIA (5000PZ);26;720
0000000085;!CUSTODIA JEWEL SINGOLA (100;26;26,25
0000000086;!CUSTODIA JEWEL SINGOLA (500;26;90
0000000087;!CUSTODIA JEWEL SINGOLA (500;26;907,5
0000000088;! non usare;0;7,5
0000000089;!SPEDIZIONE;67;112,5
0000000090;!CASSE TRUST 200P;70;19,755
0000000091;!CUSTODIA JEWEL SINGOLA (100;26;165
0000000092;!CUSTODIA NERA PPL SINGOLA (;26;20,25
0000000093;!CUSTODIA NERA PPL DOPPIA (1;26;19,5
0000000094;!HUB TRUST 4 PORTE USB 2.0 E;38;21,855
0000000095;!CUSTODIA JEWEL DOPPIA (5000;26;570
0000000096;!CUSTODIA CD SLIM (100PZ);26;18,75
0000000097;!CUSTODIA CD SLIM (500PZ);26;60
0000000098;!CUSTODIA CD SLIM (1000PZ);26;105
0000000099;!CUSTODIA CD SLIM (5000PZ);26;457,5
0000000100;!CUSTODIA DVD SINGOLA;26;7,62
0000000101;!CUSTODIA DVD SINGOLA (100PZ;26;22,5
0000000102;!CUSTODIA DVD SINGOLA (1000P;26;127,5
0000000103;!CUSTODIA DVD SINGOLA (5000P;26;570
0000000104;!CUSTODIA DVD DOPPIA;26;7,635
0000000105;!CUSTODIA DVD DOPPIA (100PZ);26;21,135
0000000106;!CUSTODIA JEWEL DOPPIA (1000;26;127,5
0000000107;!CUSTODIA DVD DOPPIA (5000PZ;26;570
0000000108;!SCHEDA VIDEO GE FORCE MX440;51;46,5
0000000109;!CUSTODIA DVD DOPPIA (1000PZ;26;127,5
0000000110;!MEMORIA DDR KINGSTON 512 MB;40;22,62
0000000111;!SCHEDA DI RETE 10/100 PCI;53;12,075
0000000112;!CAVO DI RETE NON SCHERMATO;7;7,77
0000000113;!NON USARE;20;546,015
0000000114;!SCHEDA MADRE ASROCK 939A8X-;35;57,735
0000000115;!CD-RW VERBATIM 12X IN JEWEL;48;8,1375
0000000116;!LETTORE MP3 USB CAPTIVA 512;5;70,8984
0000000117;!SCHEDA VIDEO ATIRADEON X600;81;154,5
0000000118;!<ASSISTENZA SOFTWARE;67;9
0000000119;!PLUGRETE RJ45(CONF.10 PZ)(G;1;8,535
0000000120;!KITLOGITECH TAST+MOUSE OPT;76;39,795
0000000121;!UPS HANTOL H-V1000VA CON LC;32;75,48
0000000122;!CASSE IPOD-456 W-LIFE PER I;70;76,035
0000000123;!LETTORE BAR CODE PS2;9;51,75
0000000124;!LETTORE BAR CODE USB;9;43,8
0000000125;!SECURE DIGITAL 1 GB;42;17,355
0000000126;!SCHEDA MADRE ASROCK P4DUAL-;35;67,15635
0000000127;!SCHEDA MADRE ASROCK 775DUAL;35;76,45905
0000000128;!MOUSE CON SCROLL PS/2;50;9
0000000129;!MOUSE STANDARD PS/2;50;8,3349
0000000130;!DVD+R VERBATIM 8X LIGHTS JE;11;8,415
0000000131;!CASSE CREATIVE SBS380 2.1;70;35,25
0000000132;!SIEMENS AMILO PA1510;0;732
0000000133;!SCHEDA DI RETE WIRELESS PCI;53;16,89
0000000134;!ASSICURAZIONE;0;12
0000000135;!LETTOREMULTICARD ESTERNO KE;36;13,83
0000000136;!SCHEDA DI RETE WIRELESS PCI;53;57,495
0000000137;!CASE HANTOL 2732C 400 WATT;6;43,5
0000000138;!CPU AMD SEMPRON 2300 TRAY;22;60,57
0000000139;!MONITORRELISYS TL795A 17 L;47;232,5
0000000140;!BOX ESTERNO PER DRIVE 3.5/;34;27
0000000141;!<CAVO FIREWIRE 6P6P 3 MT;7;9,6
0000000142;!ACCESS POINT WIRELESS 54 MB;53;52,86
0000000143;!CPUINTEL CELERON D 345 3.0;20;103,5
0000000144;!SCHEDAVIDEO GE FORCE 6600 2;51;66,195
0000000145;!AURICOLARE BLUETOOTH CLASSI;45;22,5
0000000146;!SCHEDAVIDEO GE FORCE FX5500;51;50,205
0000000147;!MONITORRELISYS TE770 17 CR;31;115,5
0000000148;!LETTORE DVD LG GDR-8164 BIA;2;20,25
0000000149;!CASE HANTOL HY8 500W;6;45,345
0000000150;!FOTOCAMERADIGITALE HP PHOTO;15;139,365
0000000151;!CASE HANTOL H889BK 450 WATT;6;43,3209
0000000152;!CASE HANTOL H889S 450 WATT;6;43,3203
0000000153;!BUSTINA PVC (500PZ);8;14,625
0000000154;!BUSTINA PVC (1000PZ);8;21
0000000155;!BUSTINA PVC (5000PZ);8;71,25
0000000156;!NOTEBOOKACER ASPIRE 1522WLM;54;1245
0000000157;TONER COMPATIBILE SAMSUNG ML;43;15,63
0000000158;!INVIARE NUOVAMENTE TIMBRATO;12;7,5
0000000159;!NOTEBOOK SAMSUNG R700-AA01I;54;695,205
0000000160;!UPS HANTOL H-V800VA CON LCD;32;75
0000000161;!MONITORACER AL1714SM MULTIM;47;270
0000000162;!MONITORPHILIPS 107E61 17 C;31;120,225
0000000163;!MONITOR ASUS LCD22W (90LM28;31;425,79
0000000164;!WEB CAM DIGITAL ZONE;79;18
0000000165;!CASSE HANTOL H-8201 FM RADI;70;35,07
0000000166;!MOUSE TRUST 350B;50;18,75
0000000167;!MONITORACER AL1711 17 LCD;47;251,25
0000000168;!ALIMENTATORE 650 WATT BTX P;3;84
0000000169;!GRUPPO DI CONTINUITA MAXXTR;32;50,1
0000000170;!BORSAPORTA CD CRAZY 24 POST;14;9,57
0000000171;!BORSA PORTA CD SPORT 200 PO;14;22,05
0000000172;!BORSA PORTA CD SPORT 304 PO;14;24,105
0000000173;!BORSAPORTA CD CRAZY 48 POST;14;12
0000000174;!BORSAPORTA CD CRAZY 96 POST;14;13,05
0000000175;!VIDEOPROIETTORE BENQ MP 612;14;397,365
0000000176;!MONITORRELISYS TL565RE 15;47;201
0000000177;!BORSA PORTA CD SPORT 48 POS;14;12,42
0000000178;!BORSA PORTA CD SPORT 24 POS;14;11,505
0000000179;!WEB CAM SWEEX USB;79;16,575
0000000180;!CASE HANTOL KG-201S  WATT S;6;42,5925
0000000181;!CAVO USB MINI 4P 1,8 MT;7;8,19
0000000182;!HUB4 PORTE USB 2.0 ESTERNO;38;14,385
0000000183;!MICROFONO CUFFIA MOD. AURIC;45;9,45
