CKY_ART;EAN13;MARCA
0000000113;0730143843508;AMD
0000000157;0000000000157;SAMSUNG
0000000393;0000000000393;CANON
0000000456;0000000000456;DIGITUS
0000000497;6935364020064;TP-LINK
0000000570;0000000000570;CANON
0000000620;6935364020071;TP-LINK
0000000622;0730143853002;AMD
0000000742;8028400005830;DIGITUS
0000000889;0000000000889;EPSON
0000000896;0000000000896;EPSON
0000000909;0000000000909;HANTOL
0000001050;6935364052034;TP-LINK
0000001051;6935364020255;TP-LINK
0000001090;5055818685531;TP-LINK
0000001091;0000000001091;KEYTECK
0000001131;6935364020262;TP-LINK
0000001135;6935364001001;TP-LINK
0000001181;6935364040031;TP-LINK
0000001217;6935364000011;TP-LINK
0000001218;5099206004023;LOGITECH
0000001453;4711140874166;ASROCK
0000001454;0000000001454;BROTHER
0000001455;0000000001455;BROTHER
0000001456;0000000001456;BROTHER
0000001457;0000000001457;BROTHER
0000001576;8056459414877;MACH POWER
0000001577;0000000001577;HP
0000001585;0000000001585;TP-LINK
0000001586;0000000001586;MSI
0000001587;0000000001587;TP-LINK
0000001588;0000000001588;LG
0000001589;0000000001589;CORSAIR
0000001590;0000000001590;HAIER
0000001591;0000000001591;PHILIPS
0000001593;0000000001593;BENQ
0000001594;0000000001594;HP
0000001595;0000000001595;LG
0000001596;0000000001596;LG
0000001597;0000000001597;TECHMADE
0000001598;0000000001598;PHILIPS
0000001599;0000000001599;MYHOVER
0000001600;0000000001600;SAMSUNG
0000001601;0000000001601;SAMSUNG
0000001602;0000000001602;GIGABYTE
0000001603;0000000001603;MSI
0000001604;0000000001604;GIGABYTE
0000001605;0000000001605;STARTECH
0000001606;0000000001606;MATSUYAMA
0000001607;0000000001607;MATSUYAMA
0000001608;0000000001608;MAXTOR
0000001609;0000000001609;TP-LINK
0000001610;0000000001610;ASROCK
0000001611;0000000001611;ASUS
0000001612;0000000001612;GIGABYTE
0000001613;0000000001613;ASUS
0000001614;0000000001614;ASUS
0000001615;0000000001615;SAPPHIRE
0000001616;0000000001616;TP-LINK
0000001617;0000000001617;TECNO
0000001618;0000000001618;ASROCK
0000001619;0000000001619;ASUS
0000001620;0000000001620;MSI
0000001621;0000000001621;SYNOLOGY
0000001622;0000000001622;GIGABYTE
0000001623;0000000001623;ASUS
0000001624;0000000001624;ASUS
0000001625;0000000001625;ASUS
0000001626;0000000001626;MSI
0000001627;0000000001627;MSI
0000001691;5099206055483;LOGITECH
0000001697;4008496938636;REMINGTON
0000001707;3499550375220;BIGBEN INTERACTIVE
0000001709;5099206082038;LOGITECH
0000001741;4713105968842;AEROCOOL
0000001742;4713105950229;AEROCOOL
0000001743;4718009152335;AEROCOOL
0000001744;4718009152359;AEROCOOL
0000001745;4718009153141;AEROCOOL
0000001746;4718009153134;AEROCOOL
0000001750;8801643831080;SAMSUNG
0000001751;8015908740714;BRONDI
0000001752;5030938122340;ELECTRONIC ARTS
0000001754;5060201659693;PQUBE
0000001755;8801643829896;SAMSUNG
0000001762;0711719950103;SONY
0000001766;4719331304669;GIGABYTE
0000001767;4719072625726;MSI
0000001768;3536403354473;PNY
0000001770;4717677338157;ASROCK
0000001771;4719072665968;MSI
0000001772;4719072667658;MSI
0000001773;4719072594152;MSI
0000001774;4719331806408;GIGABYTE
0000002025;0000000002025;EPSON
0000002086;0000000002086;FABRIANO
0000002096;0000000002096;HANTOL
0000002103;0790069221279;D-LINK
0000002174;4056104590936;CANON
0000002175;0000000002175;CANON
0000002179;0000000002179;CANON
0000002209;6935364052041;TP-LINK
0000002231;0790069217524;D-LINK
0000002232;0790069217715;D-LINK
0000002233;0790069252747;D-LINK
0000002248;0000000002248;HANTOL
0000002269;4960999273372;CANON
0000002270;0000000002270;CANON
0000002282;6935364020293;TP-LINK
0000002399;0000000002399;BROTHER
0000002406;0000000002406;CANON
0000002409;0886111557738;HP
0000002416;0000000002416;SAMSUNG
0000002419;0000000002419;EPSON
0000002515;6905209161504;HANTOL
0000002516;6905209162105;HANTOL
0000002518;4897032650480;HANTOL
0000002543;0000000002543;HP
0000002556;0000000002556;HP
0000002557;6959080031531;HP
0000002577;4016032198673;DIGITUS
0000002579;4016032198758;DIGITUS
0000002586;8033140053768;KEYTECK
0000002609;0000000002609;HP
0000002904;4016032355304;DIGITUS
0000003015;0000000003015;EPSON
0000003037;5099206003989;LOGITECH
0000003129;0000000003129;BROTHER
0000003218;0000000003218;PHILIPS
0000003374;4960999273020;CANON
0000003375;0000000003375;CANON
0000003443;8033140051047;KEYTECK
0000003467;0000000003467;GEMBIRD
0000003489;8033140051115;KEYTECK
0000003511;0790069285714;D-LINK
0000003516;8033140050934;KEYTECK
0000003550;0789186614958;KINGSTON
0000003598;4016032198734;DIGITUS
0000003672;0884962780787;HP
0000003673;0884962780633;HP
0000003674;4049982047289;EPSON
0000003675;0010343605831;EPSON
0000003676;0807027513106;EPSON
0000003697;0000000003697;OKI
0000003698;6935364020828;TP-LINK
0000003699;6935364050337;TP-LINK
0000003751;4897032651043;HANTOL
0000003752;6905209161450;HANTOL
0000003754;4897032650503;HANTOL
0000003755;6905209140004;HANTOL
0000003764;0000000003764;HANTOL
0000003796;8028400060839;LINK
0000003807;0829160180182;HP
0000003836;0882780107434;HP
0000003881;0000000003881;EPSON
0000003882;0808736844758;HP
0000003883;0829160798899;HP
0000003885;0000000003885;HP
0000003891;0829160941332;HP
0000003892;0000000003892;HP
0000003894;0000000003894;HP
0000003895;0000000003895;HP
0000003900;0829160799018;HP
0000003902;0808736844659;HP
0000003903;0808736844550;HP
0000003908;0000000003908;BROTHER
0000003909;0000000003909;BROTHER
0000003910;0000000003910;BROTHER
0000003915;0000000003915;BROTHER
0000003918;0000000003918;EPSON
0000003921;0000000003921;EPSON
0000003922;0000000003922;EPSON
0000003923;0000000003923;EPSON
0000003926;0000000003926;CANON
0000003928;0000000003928;CANON
0000003929;0000000003929;CANON
0000003943;0808736558136;HP
0000003944;0000000003944;CANON
0000003956;0000000003956;HANTOL
0000003977;4016032198710;DIGITUS
0000004078;0000000004078;HP
0000004079;0000000004079;HP
0000004080;0000000004080;HP
0000004082;0000000004082;SAMSUNG
0000004083;0000000004083;HP
0000004088;0000000004088;HP
0000004111;8033140050187;KEYTECK
0000004113;0000000004113;CANON
0000004135;0829160798783;HP
0000004143;0000000004143;HP
0000004275;0000000004275;KINGSTON
0000004278;0740617111286;KINGSTON
0000004297;0000000004297;HP
0000004301;0000000004301;HP
0000004402;6935364051273;TP-LINK
0000004474;8033140051429;KEYTECK
0000004475;8033140051962;KEYTECK
0000004477;8033140051924;KEYTECK
0000004542;5099206009677;LOGITECH
0000004628;8033140052266;KEYTECK
0000004634;8033140052419;KEYTECK
0000004635;8033140052426;KEYTECK
0000004636;8033140051504;KEYTECK
0000004645;0740617128147;KINGSTON
0000004972;8028153012826;MEDIACOM
0000005074;0000000005074;EPSON
0000005075;0000000005075;EPSON
0000005076;0000000005076;EPSON
0000005077;0000000005077;EPSON
0000005111;8028153005002;MEDIACOM
0000005114;8033140053140;KEYTECK
0000005115;8033140053096;KEYTECK
0000005116;8033140053072;KEYTECK
0000005117;8033140053119;KEYTECK
0000005118;8033140053102;KEYTECK
0000005119;8033140053089;KEYTECK
0000005120;8033140053065;KEYTECK
0000005121;8033140053034;KEYTECK
0000005122;8033140053041;KEYTECK
0000005128;8033140052303;KEYTECK
0000005129;8033140052327;KEYTECK
0000005130;8033140052242;KEYTECK
0000005136;8033140051603;KEYTECK
0000005195;0000000005195;ALPHA POWER
0000005261;0000000005261;HP
0000005892;0000000005892;HP
0000006169;0000000006169;EPSON
0000006171;0000000006171;EPSON
0000006225;6935364050368;TP-LINK
0000007009;0883585763306;HP
0000007017;0883585763542;HP
0000007064;0740617173741;KINGSTON
0000007080;0000000007080;CANON
0000007555;0000000007555;KEYTECK
0000007556;8033140053522;KEYTECK
0000007661;5099206003873;LOGITECH
0000007699;0000000007699;SAMSUNG
0000007808;2489111100478;KEYTECK
0000007981;0731304219781;APC
0000008009;0000000008009;KEYTECK
0000008079;0000000008079;SANDISK
0000008109;0000000008109;NILOX
0000008259;8032539911146;ITEK
0000008261;8033140053331;KEYTECK
0000008269;6935364050467;TP-LINK
0000008270;0000000008270;ASROCK
0000008752;0000000008752;LOGITECH
0000008766;6935364052096;TP-LINK
0000008768;6935364052058;TP-LINK
0000008787;4960999617039;CANON
0000008788;4960999617015;CANON
0000008812;0718037761817;WESTERN DIGITAL
0000008842;0000000008842;SAMSUNG
0000008891;0885370720983;MICROSOFT
0000008892;0885370721058;MICROSOFT
0000008917;0000000008917;OKI
0000008918;0000000008918;OKI
0000008919;0000000008919;OKI
0000008920;0000000008920;OKI
0000008921;0000000008921;BROTHER
0000008943;0885370720600;MICROSOFT
0000008946;0086000372378;TP-LINK
0000008958;0000000008958;CANON
0000008959;0000000008959;CANON
0000008963;0000000008963;EPSON
0000008972;0000000008972;PANASONIC
0000008984;0885370720709;MICROSOFT
0000009063;0000000009063;BROTHER
0000009081;0000000009081;VERBATIM
0000009104;0000000009104;EPSON
0000009110;0000000009110;EPSON
0000009163;8033140051474;KEYTECK
0000009181;0619659055646;SANDISK
0000009229;5099206008427;LOGITECH
0000009233;6935364031060;TP-LINK
0000009234;6935364031039;TP-LINK
0000009241;8033140054284;KEYTECK
0000009247;8033140054062;KEYTECK
0000009248;8033140054093;KEYTECK
0000009251;8033140054260;KEYTECK
0000009301;0000000009301;LC-POWER
0000009303;4260070122125;LC-POWER
0000009328;0008705840037;CORSAIR
0000009418;8026475161772;TECNOWARE
0000009550;4719331825089;GIGABYTE
0000009596;0000000009596;ALPHA POWER
0000009642;6935364050412;TP-LINK
0000009652;0000000009652;MATSUYAMA
0000009723;0000000009723;LC-POWER
0000009885;6935364060343;TP-LINK
0000009948;0132018352335;TP-LINK
0000009953;0843591048088;CORSAIR
0000010021;0000000010021;SAMSUNG
0000010022;0000000010022;SAMSUNG
0000010024;0000000010024;SAMSUNG
0000010025;0000000010025;SAMSUNG
0000010079;6935364051402;TP-LINK
0000010080;6935364051426;TP-LINK
0000010081;8459730521958;TP-LINK
0000010090;5051964080572;OKI
0000010124;0000000010124;SANDISK
0000010134;0883585763788;HP
0000010135;0883585764020;HP
0000010139;8808987658311;SAMSUNG
0000010176;6935364052164;TP-LINK
0000010182;4052714308411;OKI
0000010250;0000000010250;HP
0000010259;8026475161802;TECNOWARE
0000010268;0000000010268;ANDROMEDA SICUREZZA
0000010276;6935364051389;TP-LINK
0000010279;6935364052157;TP-LINK
0000010313;0000000010313;VERBATIM
0000010342;4711140871950;ASROCK
0000010374;6935364020620;TP-LINK
0000010401;0000000010401;KEYTECK
0000010420;0883585705023;HP
0000010421;0883585705269;HP
0000010422;0883585705405;HP
0000010423;0883585705528;HP
0000010424;0883585946242;HP
0000010425;6935364031039;TP-LINK
0000010426;6935364050344;TP-LINK
0000010479;0000000010479;HP
0000010514;0000000010514;ALPHA POWER
0000010516;0000000010516;TECNOWARE
0000010517;0000000010517;TECNOWARE
0000010518;0000000010518;TECNOWARE
0000010519;0000000010519;TECNOWARE
0000010531;0000000010531;TECNOWARE
0000010532;0000000010532;TECNOWARE
0000010533;0000000010533;TECNOWARE
0000010535;0000000010535;TECNOWARE
0000010536;0000000010536;TECNOWARE
0000010537;0000000010537;TECNOWARE
0000010538;0000000010538;TECNOWARE
0000010543;0000000010543;TECNOWARE
0000010551;0000000010551;TECNOWARE
